line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    3 | POS_X POS_Y : (5,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    4 | POS_X POS_Y : (11,0)
line->pos :    0 | POS_X POS_Y : (2,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
line->pos :    8 | POS_X POS_Y : (15,0)
